Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2019;00:00;5,5;0,44;0,85;0;0,01;0
01.01.2019;01:00;4,29;0,54;1,53;0;0;0
01.01.2019;02:00;3,41;0,75;1,55;0;0,01;0
01.01.2019;03:00;4,3;0,66;2,49;0;0;0
01.01.2019;04:00;4,87;1,97;5,35;0;0;0
01.01.2019;05:00;4,68;2,14;4,45;0;0;0
01.01.2019;06:00;4,41;1,32;2,91;0;0,01;0
01.01.2019;07:00;5;2,06;4,02;0;0,06;0
01.01.2019;08:00;5,12;1,84;4,12;0;0,02;0
01.01.2019;09:00;5,12;1,58;3,86;11,72;0,07;0
01.01.2019;10:00;5,41;2,16;4,37;31,49;0,01;0
01.01.2019;11:00;5,81;2,54;4,98;77,81;0;0
01.01.2019;12:00;6,1;3,19;7,35;88,72;0;0
01.01.2019;13:00;6,13;3,26;6,54;50,38;0;0
01.01.2019;14:00;5,86;4,04;7,26;33,94;0;0
01.01.2019;15:00;5,91;3,86;6,91;48,9;0;0
01.01.2019;16:00;5,86;2,82;5,54;0;0;0
01.01.2019;17:00;5,78;2,94;5,82;0;0;0
01.01.2019;18:00;5,82;3,04;5,93;0;0,09;0
01.01.2019;19:00;5,91;2,19;5,96;0;0;0
01.01.2019;20:00;5,91;1,93;5,76;0;0,01;0
01.01.2019;21:00;5,34;1,04;4,04;0;0;0
01.01.2019;22:00;4,47;2,44;8,69;0;0,81;0
01.01.2019;23:00;3,75;2,61;7,98;0;0;0
02.01.2019;00:00;3,5;2,03;6,61;0;0;0
02.01.2019;01:00;3,74;2,26;6,72;0;0;0
02.01.2019;02:00;3,82;3,18;12,25;0;0,01;0
02.01.2019;03:00;3,61;3,73;8,5;0;0;0
02.01.2019;04:00;3,01;2,84;9,23;0;0;0
02.01.2019;05:00;2,75;1,99;9,47;0;0,15;0
02.01.2019;06:00;1,75;0,98;6,42;0;0,02;0
02.01.2019;07:00;2,74;1,41;5,32;0;0;0
02.01.2019;08:00;2,96;1,56;4,56;0;0;0
02.01.2019;09:00;3,2;2,37;6,57;29,8;0;0
02.01.2019;10:00;3,93;2,02;6,72;95,36;0;0,12
02.01.2019;11:00;4,22;2,4;7,62;106,6;0;0,01
02.01.2019;12:00;4,22;2,8;7,88;88,76;0;0
02.01.2019;13:00;4,27;2,35;7,55;90,99;0;0
02.01.2019;14:00;4,42;1,98;5,66;46,04;0;0
02.01.2019;15:00;4,11;2,26;6,59;39,95;0;0
02.01.2019;16:00;3,66;1,45;4,07;0;0;0
02.01.2019;17:00;2,96;2,26;6,08;0;0;0
02.01.2019;18:00;2,08;1,6;4,93;0;0;0
02.01.2019;19:00;0,93;0,88;3,71;0;0;0
02.01.2019;20:00;0,48;0,74;1,85;0;0;0
02.01.2019;21:00;-0,37;0,88;1,87;0;0;0
02.01.2019;22:00;-0,52;1,43;2,33;0;0;0
02.01.2019;23:00;-1,55;1,57;2,81;0;0;0
03.01.2019;00:00;-0,98;1,85;3,43;0;0;0
03.01.2019;01:00;-0,61;0,75;2,24;0;0;0
03.01.2019;02:00;-1,28;0,81;2,18;0;0;0
03.01.2019;03:00;-2;0,84;2,15;0;0;0
03.01.2019;04:00;-2,73;0,56;1,72;0;0;0
03.01.2019;05:00;-3,35;0,61;1,6;0;0;0
03.01.2019;06:00;-3,51;0,53;1,52;0;0;0
03.01.2019;07:00;-2,76;0,65;1,7;0;0;0
03.01.2019;08:00;-2,4;0,75;1,59;0;0;0
03.01.2019;09:00;-1,95;0,81;2,13;33,92;0;0
03.01.2019;10:00;-1,05;0,54;1,55;65,4;0;0
03.01.2019;11:00;0,33;0,72;1,83;149,98;0;0,15
03.01.2019;12:00;1,68;1,53;2,81;253,39;0;0,82
03.01.2019;13:00;3,53;1,32;3,07;225,37;0;0,67
03.01.2019;14:00;4,21;2,26;5,36;96,25;0;0
03.01.2019;15:00;4,62;2,58;5,99;86,62;0;0,41
03.01.2019;16:00;3,49;1,61;5,18;0;0;0
03.01.2019;17:00;3,07;1,95;4,42;0;0;0
03.01.2019;18:00;2,82;1,6;4,8;0;0;0
03.01.2019;19:00;2,68;1,48;3,92;0;0;0
03.01.2019;20:00;2,55;1,56;3,06;0;0;0
03.01.2019;21:00;2,38;0,75;2,4;0;0;0
03.01.2019;22:00;1,85;0,58;1,24;0;0;0
03.01.2019;23:00;2,07;0,82;2,29;0;0;0
04.01.2019;00:00;1,63;0,43;1,14;0;0;0
04.01.2019;01:00;1,65;0,68;1,96;0;0;0
04.01.2019;02:00;1,26;0,26;1,08;0;0;0
04.01.2019;03:00;0,88;0,81;2,17;0;0;0
04.01.2019;04:00;1,15;1,46;2,38;0;0;0
04.01.2019;05:00;0,81;0,92;1,86;0;0;0
04.01.2019;06:00;-0,4;0,95;1,86;0;0;0
04.01.2019;07:00;-0,96;0,94;2,13;0;0;0
04.01.2019;08:00;-1,39;1,41;2,44;0;0;0
04.01.2019;09:00;-0,67;1,18;2,08;39,15;0;0
04.01.2019;10:00;0,35;0,92;1,87;102,22;0;0
04.01.2019;11:00;1,35;0,88;1,83;138,37;0;0,13
04.01.2019;12:00;3,39;1,07;2,49;191,47;0;0,38
04.01.2019;13:00;4,76;2,03;4,57;225,79;0;0,71
04.01.2019;14:00;4,16;1,68;4,43;75,99;0;0
04.01.2019;15:00;3,71;1,32;3,38;21,13;0;0
04.01.2019;16:00;3,21;1,53;4,26;0;0;0
04.01.2019;17:00;3,19;1,19;3,95;0;0;0
04.01.2019;18:00;3,1;2,73;8,3;0;0;0
04.01.2019;19:00;2,56;1,92;6,35;0;0;0
04.01.2019;20:00;2,12;1,67;4,74;0;0;0
04.01.2019;21:00;2,03;0,97;2,95;0;0;0
04.01.2019;22:00;1,96;1,4;3,37;0;0;0
04.01.2019;23:00;1,76;1,56;4;0;0;0
05.01.2019;00:00;1,68;1,39;3,41;0;0;0
05.01.2019;01:00;1,45;1,69;2,94;0;0;0
05.01.2019;02:00;1,29;1,82;3,41;0;0;0
05.01.2019;03:00;1,43;2,01;4,5;0;0;0
05.01.2019;04:00;1,39;2,09;4,68;0;0,26;0
05.01.2019;05:00;0,76;2,47;4,41;0;0,8;0
05.01.2019;06:00;0,79;2,13;4,11;0;0,13;0
05.01.2019;07:00;1,22;1,8;4,09;0;0;0
05.01.2019;08:00;1,78;2,08;5,53;0;0,01;0
05.01.2019;09:00;2,46;2,83;5,59;11,29;0;0
05.01.2019;10:00;3,08;2,62;5,19;17,59;0;0
05.01.2019;11:00;3,92;2,12;4,75;32,52;0;0
05.01.2019;12:00;4,54;1,73;4,53;55,57;0;0
05.01.2019;13:00;5,29;1,62;5,31;29,65;0;0
05.01.2019;14:00;5,62;1,32;4,15;21,82;0,01;0
05.01.2019;15:00;5,56;1,51;5,56;0;0;0
05.01.2019;16:00;5,36;1,48;4,05;0;0;0
05.01.2019;17:00;5,19;1,24;4,14;0;0,12;0
05.01.2019;18:00;4,65;1,51;4,04;0;0,13;0
05.01.2019;19:00;4,57;1,95;4,14;0;0;0
05.01.2019;20:00;4,11;1,64;4,11;0;0;0
05.01.2019;21:00;3,9;1,43;4,14;0;0;0
05.01.2019;22:00;4,04;1,47;3,76;0;0;0
05.01.2019;23:00;3,87;1,6;3,7;0;0;0
06.01.2019;00:00;3,36;1,76;5,04;0;0;0
06.01.2019;01:00;2,89;1,82;4,61;0;0;0
06.01.2019;02:00;2,92;1,23;4,29;0;0;0
06.01.2019;03:00;3,18;2,03;4,52;0;0,06;0
06.01.2019;04:00;3,14;1,84;4,17;0;0;0
06.01.2019;05:00;3,17;1,65;3,79;0;0,01;0
06.01.2019;06:00;3,16;1,73;4,73;0;0;0
06.01.2019;07:00;3,12;1,69;4,46;0;0;0
06.01.2019;08:00;2,71;1,62;5,33;0;0;0
06.01.2019;09:00;2,6;1,59;5,02;31,53;0;0
06.01.2019;10:00;3,15;1,93;4,14;83,43;0;0
06.01.2019;11:00;3,82;1,76;4,14;94,54;0;0
06.01.2019;12:00;4,19;1,65;4,09;72,91;0;0
06.01.2019;13:00;4,87;1,6;4,61;91,78;0;0
06.01.2019;14:00;4,74;1,74;6,43;56,86;0;0
06.01.2019;15:00;4,59;1,67;4,26;47,14;0;0
06.01.2019;16:00;4,31;1,18;4,21;0;0;0
06.01.2019;17:00;3,96;1,34;2,96;0;0;0
06.01.2019;18:00;3,78;1,1;2,65;0;0;0
06.01.2019;19:00;3,65;1,1;2,84;0;0;0
06.01.2019;20:00;3,54;0,81;2,74;0;0;0
06.01.2019;21:00;3,29;0,51;1,5;0;0;0
06.01.2019;22:00;3,29;0,69;1,83;0;0;0
