Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2018;00:00;9,56;5,19;12,31;,00;,00;,00
01.01.2018;01:00;9,26;5,64;13,14;,00;,00;,00
01.01.2018;02:00;8,98;5,20;11,38;,00;,00;,00
01.01.2018;03:00;7,49;4,20;12,12;,00;1,00;,00
01.01.2018;04:00;6,92;4,84;11,48;,00;,40;,00
01.01.2018;05:00;5,60;3,17;6,69;,00;,40;,00
01.01.2018;06:00;5,52;3,62;8,64;,00;,50;,00
01.01.2018;07:00;5,83;3,83;8,60;,00;,00;,00
01.01.2018;08:00;6,22;4,59;9,69;,00;,00;,00
01.01.2018;09:00;6,33;4,22;8,60;14,47;,00;,00
01.01.2018;10:00;6,68;5,29;10,46;70,44;,00;,02
01.01.2018;11:00;6,80;4,76;9,47;61,00;,00;,00
01.01.2018;12:00;6,78;4,81;10,07;51,55;,00;,00
01.01.2018;13:00;6,86;5,65;11,61;43,92;,50;,00
01.01.2018;14:00;5,64;5,71;10,62;20,03;2,70;,00
01.01.2018;15:00;4,92;6,22;14,83;14,47;2,20;,00
01.01.2018;16:00;5,22;7,53;14,00;,00;1,30;,00
01.01.2018;17:00;5,25;6,73;12,37;,00;2,40;,00
01.01.2018;18:00;5,20;5,20;12,31;,00;,30;,00
01.01.2018;19:00;5,69;4,38;10,14;,00;1,30;,00
01.01.2018;20:00;5,98;3,06;8,06;,00;,80;,00
01.01.2018;21:00;5,91;2,25;6,30;,00;,70;,00
01.01.2018;22:00;5,96;3,16;8,60;,00;,10;,00
01.01.2018;23:00;5,74;2,41;9,85;,00;,00;,00
02.01.2018;00:00;5,20;1,87;6,69;,00;,00;,00
02.01.2018;01:00;4,92;2,73;6,24;,00;,00;,00
02.01.2018;02:00;5,35;2,46;6,88;,00;,10;,00
02.01.2018;03:00;5,25;3,28;7,45;,00;,20;,00
02.01.2018;04:00;4,96;2,77;7,68;,00;,10;,00
02.01.2018;05:00;4,89;2,21;5,70;,00;,00;,00
02.01.2018;06:00;5,33;2,40;7,20;,00;,00;,00
02.01.2018;07:00;5,47;2,12;7,93;,00;,00;,00
02.01.2018;08:00;5,23;2,09;5,70;,00;,00;,00
02.01.2018;09:00;5,44;2,52;8,22;20,17;,00;,00
02.01.2018;10:00;5,76;2,34;6,85;96,69;,00;,34
02.01.2018;11:00;6,65;3,27;7,77;151,83;,00;,33
02.01.2018;12:00;6,55;2,41;6,85;113,36;,00;,00
02.01.2018;13:00;6,51;3,29;6,88;99,47;,00;,00
02.01.2018;14:00;6,26;3,11;7,36;74,89;,00;,00
02.01.2018;15:00;6,11;2,47;4,77;36,69;,00;,00
02.01.2018;16:00;6,16;2,81;5,98;,00;,00;,00
02.01.2018;17:00;6,22;3,40;6,53;,00;,20;,00
02.01.2018;18:00;5,71;2,96;7,29;,00;,20;,00
02.01.2018;19:00;5,49;3,19;8,64;,00;,40;,00
02.01.2018;20:00;5,53;4,26;10,52;,00;,80;,00
02.01.2018;21:00;5,56;4,67;11,16;,00;,30;,00
