Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2021;00:00;-,02;1,07;3,01;,00;,01;,00
01.01.2021;01:00;-,07;1,24;3,17;,00;,00;,00
01.01.2021;02:00;-,13;1,06;3,11;,00;,01;,00
01.01.2021;03:00;-,26;1,09;3,17;,00;,00;,00
01.01.2021;04:00;-,34;1,16;3,14;,00;,00;,00
01.01.2021;05:00;-,26;,97;3,09;,00;,01;,00
01.01.2021;06:00;-,26;,81;2,70;,00;,00;,00
01.01.2021;07:00;-,48;1,00;2,70;,00;,00;,00
01.01.2021;08:00;-,49;,89;2,36;,00;,01;,00
01.01.2021;09:00;-,52;,74;2,28;,00;,00;,00
01.01.2021;10:00;-,32;,67;1,90;26,68;,01;,00
01.01.2021;11:00;,18;,61;1,55;88,89;,00;,34
01.01.2021;12:00;1,00;,82;2,27;156,32;,00;1,00
01.01.2021;13:00;,81;,97;2,04;88,71;,00;,35
01.01.2021;14:00;,66;,78;1,46;59,14;,00;,00
01.01.2021;15:00;,49;,73;2,20;16,37;,00;,00
01.01.2021;16:00;,27;,65;1,49;,00;,01;,00
01.01.2021;17:00;,33;,86;1,83;,00;,00;,00
01.01.2021;18:00;,33;,72;1,42;,00;,00;,00
01.01.2021;19:00;,29;,65;1,63;,00;,00;,00
01.01.2021;20:00;,21;,61;2,28;,00;,01;,00
01.01.2021;21:00;,14;,65;2,80;,00;,00;,00
01.01.2021;22:00;,02;,49;1,80;,00;,01;,00
01.01.2021;23:00;-,50;,62;1,95;,00;,00;,00
02.01.2021;00:00;-,84;,55;1,45;,00;,01;,00
02.01.2021;01:00;-1,25;,62;1,25;,00;,00;,00
02.01.2021;02:00;-1,63;,63;,95;,00;,00;,00
02.01.2021;03:00;-1,98;,70;1,26;,00;,00;,00
02.01.2021;04:00;-2,28;,66;1,99;,00;,01;,00
02.01.2021;05:00;-2,53;,55;2,12;,00;,00;,00
02.01.2021;06:00;-2,86;,76;2,07;,00;,00;,00
