Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2021;00:00;1,26;,95;2,56;,00;,01;,00
01.01.2021;01:00;1,20;1,10;2,57;,00;,01;,00
01.01.2021;02:00;,87;,94;3,17;,00;,12;,00
01.01.2021;03:00;1,18;,98;2,33;,00;,01;,00
01.01.2021;04:00;1,34;,98;2,36;,00;,00;,00
01.01.2021;05:00;1,39;,87;1,51;,00;,00;,00
01.01.2021;06:00;1,19;1,28;2,96;,00;,00;,00
01.01.2021;07:00;,83;,95;2,33;,00;,18;,00
01.01.2021;08:00;,41;,65;,87;,00;,62;,00
01.01.2021;09:00;-,06;,63;,80;,00;,48;,00
01.01.2021;10:00;,43;,40;,55;35,89;,07;,00
01.01.2021;11:00;1,10;,52;1,01;83,55;,02;,00
01.01.2021;12:00;1,74;,97;1,47;116,46;,01;,11
01.01.2021;13:00;2,22;1,23;2,25;127,21;,00;,03
01.01.2021;14:00;2,11;1,68;2,62;57,45;,00;,00
01.01.2021;15:00;1,70;1,13;2,60;14,23;,01;,00
01.01.2021;16:00;1,67;,55;,96;,00;,00;,00
01.01.2021;17:00;1,65;,74;1,16;,00;,01;,00
01.01.2021;18:00;1,48;,70;1,30;,00;,00;,00
01.01.2021;19:00;1,15;,36;,70;,00;,01;,00
01.01.2021;20:00;,59;,38;1,04;,00;,00;,00
01.01.2021;21:00;,44;,79;2,24;,00;,00;,00
01.01.2021;22:00;,16;,38;,80;,00;,02;,00
01.01.2021;23:00;-,04;,88;1,84;,00;,00;,00
02.01.2021;00:00;-,88;,47;1,13;,00;,01;,00
02.01.2021;01:00;-1,22;,90;1,65;,00;,02;,00
02.01.2021;02:00;-1,58;1,10;1,88;,00;,02;,00
02.01.2021;03:00;-1,46;1,33;2,62;,00;,09;,00
02.01.2021;04:00;-1,40;1,01;1,73;,00;,01;,00
02.01.2021;05:00;-1,80;1,15;2,25;,00;,02;,00
02.01.2021;06:00;-2,14;,96;2,28;,00;,01;,00
02.01.2021;07:00;-2,11;1,65;2,54;,00;,05;,00
02.01.2021;08:00;-1,98;1,17;1,99;,00;,05;,00
02.01.2021;09:00;-1,76;,58;1,33;22,92;,01;,00
02.01.2021;10:00;-1,40;,64;1,42;65,46;,00;,00
02.01.2021;11:00;-,83;,68;1,42;87,79;,02;,00
02.01.2021;12:00;-,24;,94;1,72;99,44;,01;,00
02.01.2021;13:00;,20;1,10;1,85;117,56;,00;,00
02.01.2021;14:00;,52;,91;1,44;94,38;,01;,00
02.01.2021;15:00;,68;,71;1,26;48,49;,01;,00
02.01.2021;16:00;,37;,89;1,44;12,29;,01;,00
02.01.2021;17:00;,35;,92;1,34;,00;,00;,00
02.01.2021;18:00;-,01;,62;1,56;,00;,00;,00
02.01.2021;19:00;-,08;,55;1,07;,00;,01;,00
02.01.2021;20:00;,00;,75;1,30;,00;,00;,00
02.01.2021;21:00;,06;,80;1,55;,00;,01;,00
02.01.2021;22:00;,13;,76;1,18;,00;,01;,00
02.01.2021;23:00;,08;,70;1,11;,00;,00;,00
03.01.2021;00:00;,22;,68;1,24;,00;,01;,00
03.01.2021;01:00;,27;,75;1,32;,00;,00;,00
03.01.2021;02:00;,36;1,29;2,71;,00;,11;,00
03.01.2021;03:00;,58;1,84;3,45;,00;,05;,00
03.01.2021;04:00;,65;1,40;2,61;,00;,14;,00
03.01.2021;05:00;,56;1,27;2,53;,00;,11;,00
03.01.2021;06:00;,48;1,08;2,32;,00;,09;,00
03.01.2021;07:00;,47;1,81;3,97;,00;,05;,00
03.01.2021;08:00;,52;2,57;5,22;,00;,00;,00
03.01.2021;09:00;,47;1,91;3,27;13,92;,00;,00
03.01.2021;10:00;,59;1,98;3,53;26,60;,00;,00
03.01.2021;11:00;,66;2,02;3,61;50,47;,01;,00
03.01.2021;12:00;,51;1,56;3,01;44,10;,01;,00
03.01.2021;13:00;,39;1,26;2,33;32,61;,02;,00
03.01.2021;14:00;,85;1,03;1,80;23,69;,04;,00
03.01.2021;15:00;1,20;1,64;2,95;15,02;,00;,00
03.01.2021;16:00;1,25;2,13;4,01;,00;,00;,00
03.01.2021;17:00;,88;1,96;3,98;,00;,02;,00
03.01.2021;18:00;,64;1,30;2,85;,00;,05;,00
03.01.2021;19:00;,50;1,11;2,77;,00;,03;,00
03.01.2021;20:00;,65;,81;1,34;,00;,00;,00
03.01.2021;21:00;,84;,78;1,46;,00;,03;,00
03.01.2021;22:00;,64;,87;1,43;,00;,09;,00
03.01.2021;23:00;,73;,75;1,15;,00;,04;,00
04.01.2021;00:00;,60;,48;1,27;,00;,04;,00
04.01.2021;01:00;,52;1,01;1,20;,00;,06;,00
04.01.2021;02:00;,32;1,01;1,52;,00;,09;,00
04.01.2021;03:00;,29;,95;1,47;,00;,08;,00
04.01.2021;04:00;,25;,97;1,48;,00;,02;,00
04.01.2021;05:00;-,07;1,00;1,49;,00;,02;,00
04.01.2021;06:00;-,06;1,07;1,68;,00;,09;,00
04.01.2021;07:00;-,13;,95;1,76;,00;,15;,00
04.01.2021;08:00;-,07;,97;1,85;,00;,05;,00
04.01.2021;09:00;,18;1,18;1,98;34,91;,00;,00
04.01.2021;10:00;,62;1,51;2,50;61,66;,03;,00
