Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2020;00:00;1,65;4,74;7,76;,00;,00;,00
01.01.2020;01:00;,99;3,98;6,01;,00;,00;,00
01.01.2020;02:00;,29;3,60;5,60;,00;,00;,00
01.01.2020;03:00;-,24;3,34;5,49;,00;,00;,00
01.01.2020;04:00;-,71;2,88;4,63;,00;,00;,00
01.01.2020;05:00;-,90;2,81;4,37;,00;,00;,00
01.01.2020;06:00;-,99;2,45;4,30;,00;,00;,00
01.01.2020;07:00;-1,28;3,31;5,14;,00;,00;,00
01.01.2020;08:00;-1,28;2,68;4,78;,00;,00;,00
01.01.2020;09:00;-1,42;2,30;4,01;37,70;,00;,00
01.01.2020;10:00;-1,25;1,75;3,28;88,02;,00;,00
01.01.2020;11:00;-1,26;2,57;4,37;104,36;,00;,00
01.01.2020;12:00;-1,34;2,49;4,31;107,56;,00;,00
01.01.2020;13:00;-1,17;2,38;3,87;110,48;,00;,00
01.01.2020;14:00;-1,36;2,35;3,74;87,74;,00;,00
01.01.2020;15:00;-1,60;2,75;4,58;32,81;,00;,00
01.01.2020;16:00;-1,63;2,07;3,99;,00;,00;,00
01.01.2020;17:00;-1,79;1,94;4,02;,00;,00;,00
01.01.2020;18:00;-1,92;1,89;4,33;,00;,00;,00
01.01.2020;19:00;-2,11;2,68;4,93;,00;,00;,00
01.01.2020;20:00;-2,02;2,84;5,49;,00;,00;,00
01.01.2020;21:00;-2,24;2,55;5,44;,00;,00;,00
01.01.2020;22:00;-2,44;2,16;5,28;,00;,00;,00
01.01.2020;23:00;-2,56;2,37;5,60;,00;,00;,00
02.01.2020;00:00;-2,47;2,30;5,48;,00;,00;,00
02.01.2020;01:00;-2,67;2,30;4,90;,00;,00;,00
02.01.2020;02:00;-2,96;2,27;5,78;,00;,00;,00
02.01.2020;03:00;-3,02;2,06;4,43;,00;,00;,00
02.01.2020;04:00;-3,00;2,54;5,60;,00;,00;,00
02.01.2020;05:00;-2,77;1,61;4,44;,00;,00;,00
02.01.2020;06:00;-2,52;2,17;4,64;,00;,00;,00
02.01.2020;07:00;-2,31;2,19;4,72;,00;,00;,00
02.01.2020;08:00;-2,14;3,16;5,60;,00;,00;,00
02.01.2020;09:00;-1,84;3,33;5,60;25,84;,00;,00
02.01.2020;10:00;-1,36;2,69;4,94;60,46;,00;,00
02.01.2020;11:00;-1,12;3,02;5,30;61,32;,00;,00
02.01.2020;12:00;-,80;3,16;5,60;83,97;,00;,00
02.01.2020;13:00;-,54;2,70;4,38;69,59;,00;,00
02.01.2020;14:00;-,48;2,67;4,39;61,98;,00;,00
02.01.2020;15:00;-,41;3,09;4,62;28,66;,00;,00
02.01.2020;16:00;-,38;3,46;5,03;,00;,00;,00
02.01.2020;17:00;-,37;2,60;4,58;,00;,00;,00
02.01.2020;18:00;,12;2,32;4,82;,00;,00;,00
02.01.2020;19:00;,75;2,43;5,26;,00;,30;,00
02.01.2020;20:00;1,48;3,08;6,17;,00;,30;,00
02.01.2020;21:00;2,34;3,63;6,55;,00;,20;,00
02.01.2020;22:00;2,57;3,21;5,60;,00;,20;,00
02.01.2020;23:00;3,26;3,86;8,79;,00;,00;,00
03.01.2020;00:00;3,81;5,67;9,57;,00;,00;,00
03.01.2020;01:00;3,95;4,84;8,91;,00;,10;,00
03.01.2020;02:00;4,10;5,49;9,34;,00;,20;,00
03.01.2020;03:00;4,18;5,75;10,56;,00;,10;,00
03.01.2020;04:00;4,22;6,13;11,05;,00;,10;,00
03.01.2020;05:00;4,24;7,01;12,79;,00;,10;,00
03.01.2020;06:00;4,06;6,77;13,41;,00;,00;,00
03.01.2020;07:00;3,99;5,92;10,42;,00;,00;,00
03.01.2020;08:00;3,86;5,41;9,84;,00;,00;,00
03.01.2020;09:00;3,81;5,93;10,49;15,54;,00;,00
03.01.2020;10:00;4,07;7,10;11,30;45,42;,30;,00
03.01.2020;11:00;4,37;6,18;10,06;47,10;,10;,00
03.01.2020;12:00;4,72;6,74;12,33;42,14;,00;,00
03.01.2020;13:00;5,10;6,96;12,59;31,68;,10;,00
03.01.2020;14:00;5,37;6,95;11,62;20,97;,10;,00
03.01.2020;15:00;5,71;6,43;10,61;23,44;,00;,00
03.01.2020;16:00;5,98;6,33;11,12;,00;,20;,00
03.01.2020;17:00;6,17;6,07;11,75;,00;,40;,00
03.01.2020;18:00;6,28;5,86;9,42;,00;,30;,00
03.01.2020;19:00;6,34;5,39;8,66;,00;,70;,00
03.01.2020;20:00;6,13;5,83;11,91;,00;,50;,00
03.01.2020;21:00;4,24;6,50;12,39;,00;,00;,00
03.01.2020;22:00;3,23;6,17;10,52;,00;,00;,00
03.01.2020;23:00;2,66;5,04;8,88;,00;,00;,00
04.01.2020;00:00;2,00;4,32;7,10;,00;,00;,00
04.01.2020;01:00;1,30;3,83;5,90;,00;,00;,00
04.01.2020;02:00;1,52;3,07;5,00;,00;,10;,00
04.01.2020;03:00;1,85;3,80;7,22;,00;,00;,00
04.01.2020;04:00;1,46;3,49;6,68;,00;,00;,00
04.01.2020;05:00;,76;3,82;6,49;,00;,00;,00
04.01.2020;06:00;,90;4,74;7,62;,00;,00;,00
04.01.2020;07:00;,99;4,43;7,72;,00;,00;,00
04.01.2020;08:00;,77;4,93;8,01;,00;,00;,00
04.01.2020;09:00;,85;4,29;7,41;62,91;,00;,32
04.01.2020;10:00;1,39;3,82;6,45;109,03;,00;,30
04.01.2020;11:00;1,70;4,15;7,07;160,46;,00;,40
04.01.2020;12:00;2,22;4,29;7,36;139,98;,00;,12
04.01.2020;13:00;1,86;5,07;9,87;115,06;,00;,02
04.01.2020;14:00;1,41;4,70;9,15;62,53;,00;,00
04.01.2020;15:00;1,44;4,89;8,03;25,51;,00;,00
04.01.2020;16:00;1,63;5,02;8,58;,00;,00;,00
04.01.2020;17:00;1,95;4,85;8,77;,00;,00;,00
04.01.2020;18:00;1,88;4,79;8,20;,00;,00;,00
04.01.2020;19:00;2,15;4,78;7,78;,00;,00;,00
04.01.2020;20:00;2,24;2,35;5,09;,00;,00;,00
04.01.2020;21:00;2,19;2,90;4,51;,00;,00;,00
04.01.2020;22:00;2,35;3,73;5,63;,00;,00;,00
04.01.2020;23:00;2,44;3,52;6,08;,00;,00;,00
05.01.2020;00:00;2,36;3,12;4,86;,00;,00;,00
05.01.2020;01:00;2,38;2,72;4,86;,00;,00;,00
05.01.2020;02:00;2,35;2,73;4,45;,00;,00;,00
05.01.2020;03:00;2,37;2,48;3,89;,00;,00;,00
05.01.2020;04:00;2,35;2,74;4,30;,00;,00;,00
05.01.2020;05:00;2,28;2,24;3,62;,00;,00;,00
05.01.2020;06:00;2,24;2,14;3,55;,00;,00;,00
05.01.2020;07:00;2,19;1,85;3,14;,00;,00;,00
05.01.2020;08:00;2,17;1,30;2,64;,00;,00;,00
05.01.2020;09:00;2,54;1,44;2,84;24,10;,00;,00
05.01.2020;10:00;3,10;1,67;4,22;45,47;,00;,00
05.01.2020;11:00;3,26;1,74;3,14;63,46;,00;,00
05.01.2020;12:00;3,42;1,94;3,98;69,14;,00;,00
05.01.2020;13:00;3,16;2,81;4,65;58,02;,00;,00
05.01.2020;14:00;3,05;2,40;4,07;41,16;,00;,00
05.01.2020;15:00;2,98;1,90;3,56;18,96;,00;,00
05.01.2020;16:00;2,79;1,98;3,31;,00;,00;,00
05.01.2020;17:00;2,62;2,26;4,18;,00;,00;,00
05.01.2020;18:00;2,32;2,16;4,03;,00;,00;,00
05.01.2020;19:00;2,16;1,69;5,16;,00;,00;,00
05.01.2020;20:00;2,04;1,42;3,00;,00;,00;,00
05.01.2020;21:00;1,91;1,97;4,41;,00;,00;,00
05.01.2020;22:00;1,76;1,51;3,67;,00;,00;,00
05.01.2020;23:00;1,63;1,39;3,78;,00;,00;,00
06.01.2020;00:00;1,57;1,00;3,11;,00;,00;,00
06.01.2020;01:00;1,32;1,27;3,21;,00;,00;,00
06.01.2020;02:00;1,16;,99;3,14;,00;,00;,00
06.01.2020;03:00;1,10;,89;2,11;,00;,00;,00
06.01.2020;04:00;,61;,40;1,09;,00;,00;,00
06.01.2020;05:00;,23;,49;1,05;,00;,00;,00
06.01.2020;06:00;-,41;1,30;1,87;,00;,00;,00
06.01.2020;07:00;-,78;1,95;3,19;,00;,00;,00
06.01.2020;08:00;-,85;2,84;4,18;,00;,00;,00
06.01.2020;09:00;-,14;3,37;5,06;94,23;,00;,76
06.01.2020;10:00;,85;4,01;6,32;214,32;,00;1,00
06.01.2020;11:00;,33;3,78;8,14;173,24;,00;,27
06.01.2020;12:00;,47;2,36;5,82;236,56;,00;,49
06.01.2020;13:00;1,90;2,65;5,75;290,51;,00;1,00
06.01.2020;14:00;2,84;2,50;5,36;226,47;,00;1,00
06.01.2020;15:00;1,33;3,68;6,70;116,75;,00;,82
06.01.2020;16:00;-1,31;3,57;7,31;13,50;,00;,00
06.01.2020;17:00;-1,80;2,82;6,61;,00;,00;,00
06.01.2020;18:00;-1,85;3,03;6,97;,00;,00;,00
06.01.2020;19:00;-1,43;4,07;7,15;,00;,00;,00
06.01.2020;20:00;-,94;3,28;7,16;,00;,00;,00
06.01.2020;21:00;-,61;3,45;6,95;,00;,00;,00
06.01.2020;22:00;-,69;3,53;7,16;,00;,00;,00
06.01.2020;23:00;,07;4,71;8,77;,00;,00;,00
07.01.2020;00:00;,58;4,99;8,42;,00;,10;,00
07.01.2020;01:00;,99;5,00;8,28;,00;,10;,00
07.01.2020;02:00;1,21;4,81;8,31;,00;,20;,00
07.01.2020;03:00;1,31;4,81;8,12;,00;,00;,00
07.01.2020;04:00;1,46;4,32;8,05;,00;,00;,00
07.01.2020;05:00;1,88;3,97;7,04;,00;,00;,00
07.01.2020;06:00;2,27;3,76;6,40;,00;,00;,00
07.01.2020;07:00;2,58;3,55;6,02;,00;,00;,00
07.01.2020;08:00;2,79;3,87;6,98;,00;,00;,00
07.01.2020;09:00;2,91;3,60;6,14;38,09;,00;,00
07.01.2020;10:00;3,02;3,30;5,72;63,11;,00;,00
07.01.2020;11:00;3,41;3,42;5,78;116,39;,00;,00
07.01.2020;12:00;3,63;4,04;7,37;88,99;,00;,00
07.01.2020;13:00;3,89;3,96;6,78;103,59;,00;,08
07.01.2020;14:00;3,80;4,07;7,07;62,46;,00;,00
07.01.2020;15:00;3,90;3,45;5,37;40,26;,00;,00
07.01.2020;16:00;3,47;3,22;6,07;11,12;,00;,00
07.01.2020;17:00;3,13;2,58;4,87;,00;,00;,00
07.01.2020;18:00;3,14;3,20;7,09;,00;,00;,00
07.01.2020;19:00;2,96;3,50;7,46;,00;,00;,00
07.01.2020;20:00;2,90;3,82;8,24;,00;,00;,00
07.01.2020;21:00;2,72;4,06;8,72;,00;,00;,00
07.01.2020;22:00;2,44;4,37;8,55;,00;,00;,00
07.01.2020;23:00;2,25;3,36;6,02;,00;,00;,00
08.01.2020;00:00;2,24;3,30;7,20;,00;,00;,00
08.01.2020;01:00;2,58;3,83;7,05;,00;,00;,00
08.01.2020;02:00;2,74;2,78;5,41;,00;,00;,00
08.01.2020;03:00;2,67;3,33;6,14;,00;,00;,00
08.01.2020;04:00;2,68;2,70;6,20;,00;,10;,00
08.01.2020;05:00;2,86;3,51;8,09;,00;,10;,00
08.01.2020;06:00;3,20;3,58;8,03;,00;,00;,00
08.01.2020;07:00;3,48;3,88;7,95;,00;,10;,00
08.01.2020;08:00;3,87;3,69;6,94;,00;,00;,00
08.01.2020;09:00;4,47;3,88;7,05;10,88;,10;,00
08.01.2020;10:00;4,80;3,51;6,88;16,58;,10;,00
08.01.2020;11:00;5,03;2,05;5,55;23,53;,30;,00
08.01.2020;12:00;5,50;2,19;4,45;42,44;,00;,00
08.01.2020;13:00;6,35;4,24;6,35;39,09;,00;,00
08.01.2020;14:00;6,78;4,17;7,20;42,70;,00;,00
08.01.2020;15:00;7,07;2,88;6,03;19,72;,00;,00
08.01.2020;16:00;7,31;4,16;7,03;,00;,00;,00
08.01.2020;17:00;7,37;4,01;7,12;,00;,00;,00
08.01.2020;18:00;7,42;3,54;6,19;,00;,20;,00
08.01.2020;19:00;7,53;3,43;5,67;,00;,10;,00
08.01.2020;20:00;7,58;3,28;5,13;,00;,00;,00
08.01.2020;21:00;7,58;2,79;5,58;,00;,00;,00
08.01.2020;22:00;7,60;2,74;5,12;,00;,10;,00
08.01.2020;23:00;7,61;2,95;5,86;,00;,20;,00
09.01.2020;00:00;7,62;3,32;6,16;,00;,30;,00
09.01.2020;01:00;7,63;3,16;6,48;,00;,50;,00
09.01.2020;02:00;7,57;3,66;8,06;,00;,10;,00
09.01.2020;03:00;7,54;5,03;9,25;,00;,10;,00
09.01.2020;04:00;7,55;4,46;8,44;,00;,10;,00
09.01.2020;05:00;7,62;4,02;7,70;,00;,20;,00
09.01.2020;06:00;7,78;3,74;7,76;,00;,30;,00
09.01.2020;07:00;7,96;4,64;10,00;,00;,30;,00
09.01.2020;08:00;8,01;5,58;11,00;,00;,40;,00
09.01.2020;09:00;8,02;7,14;12,65;13,14;,20;,00
09.01.2020;10:00;8,24;6,75;13,96;35,40;,30;,00
09.01.2020;11:00;8,47;7,45;13,48;37,90;,20;,00
09.01.2020;12:00;8,56;7,81;15,15;53,11;,10;,00
09.01.2020;13:00;8,56;7,44;12,42;35,36;,00;,00
09.01.2020;14:00;8,55;5,53;11,27;30,64;,40;,00
09.01.2020;15:00;8,41;4,65;9,96;13,72;1,20;,00
09.01.2020;16:00;8,21;4,32;9,22;,00;1,70;,00
09.01.2020;17:00;7,85;4,94;10,44;,00;1,60;,00
09.01.2020;18:00;7,69;4,90;9,40;,00;,70;,00
09.01.2020;19:00;7,42;4,58;9,36;,00;,80;,00
09.01.2020;20:00;6,96;4,86;10,47;,00;,80;,00
09.01.2020;21:00;6,74;4,73;8,93;,00;,40;,00
09.01.2020;22:00;6,89;6,04;11,17;,00;,30;,00
09.01.2020;23:00;6,80;5,62;9,82;,00;,30;,00
10.01.2020;00:00;6,52;4,12;8,68;,00;,20;,00
10.01.2020;01:00;6,49;6,04;12,01;,00;,80;,00
10.01.2020;02:00;6,02;7,56;12,80;,00;,60;,00
10.01.2020;03:00;5,83;6,03;11,50;,00;,00;,00
10.01.2020;04:00;5,73;4,99;9,63;,00;,70;,00
10.01.2020;05:00;5,67;4,67;10,88;,00;,80;,00
10.01.2020;06:00;5,62;4,87;10,34;,00;,50;,00
10.01.2020;07:00;5,56;5,20;9,31;,00;1,10;,00
10.01.2020;08:00;5,51;4,60;10,41;,00;1,00;,00
10.01.2020;09:00;5,54;4,47;8,16;21,01;,60;,00
10.01.2020;10:00;5,80;4,24;6,88;66,85;,10;,00
10.01.2020;11:00;5,80;4,78;9,26;70,38;1,20;,00
10.01.2020;12:00;5,06;6,67;10,99;64,35;,00;,00
10.01.2020;13:00;4,21;6,08;11,54;72,04;,00;,00
10.01.2020;14:00;4,26;5,70;10,00;50,53;,00;,00
10.01.2020;15:00;3,78;6,42;10,37;38,88;,00;,00
10.01.2020;16:00;3,57;5,67;9,77;12,66;,00;,02
10.01.2020;17:00;3,34;5,47;10,47;,00;,00;,00
10.01.2020;18:00;3,11;4,52;7,91;,00;,10;,00
10.01.2020;19:00;2,93;4,11;7,42;,00;,00;,00
10.01.2020;20:00;2,74;3,02;5,35;,00;,00;,00
10.01.2020;21:00;2,40;3,21;6,16;,00;,00;,00
10.01.2020;22:00;2,12;1,74;3,47;,00;,00;,00
10.01.2020;23:00;2,48;1,31;2,31;,00;,00;,00
11.01.2020;00:00;2,34;2,44;4,59;,00;,00;,00
11.01.2020;01:00;2,12;1,68;3,07;,00;,00;,00
11.01.2020;02:00;2,03;1,79;3,32;,00;,00;,00
11.01.2020;03:00;2,13;1,34;3,60;,00;,00;,00
11.01.2020;04:00;2,01;1,31;3,50;,00;,00;,00
11.01.2020;05:00;1,99;1,63;4,17;,00;,00;,00
11.01.2020;06:00;2,19;2,03;3,34;,00;,00;,00
11.01.2020;07:00;2,03;2,35;3,74;,00;,00;,00
11.01.2020;08:00;1,83;2,39;4,23;,00;,00;,00
11.01.2020;09:00;1,69;2,79;4,67;41,30;,00;,00
11.01.2020;10:00;2,04;3,09;5,67;99,46;,00;,00
11.01.2020;11:00;2,20;3,77;6,15;140,07;,00;,00
11.01.2020;12:00;2,47;4,17;7,28;121,51;,00;,00
11.01.2020;13:00;2,58;4,40;6,97;99,91;,00;,00
11.01.2020;14:00;2,61;4,35;7,32;85,98;,00;,06
11.01.2020;15:00;2,61;4,10;6,93;44,95;,00;,00
11.01.2020;16:00;2,47;3,72;6,88;10,35;,00;,00
11.01.2020;17:00;2,30;2,85;5,47;,00;,00;,00
11.01.2020;18:00;1,91;2,76;5,72;,00;,00;,00
11.01.2020;19:00;1,02;2,37;4,57;,00;,00;,00
11.01.2020;20:00;,62;3,29;5,92;,00;,00;,00
11.01.2020;21:00;,40;3,74;6,09;,00;,00;,00
11.01.2020;22:00;,65;4,32;6,69;,00;,00;,00
11.01.2020;23:00;,54;4,15;6,99;,00;,00;,00
12.01.2020;00:00;,00;4,72;7,72;,00;,00;,00
12.01.2020;01:00;,13;5,33;9,04;,00;,00;,00
12.01.2020;02:00;-,34;4,66;9,79;,00;,00;,00
12.01.2020;03:00;-,53;4,78;7,91;,00;,00;,00
12.01.2020;04:00;-,44;5,26;8,35;,00;,00;,00
12.01.2020;05:00;-,14;5,53;8,61;,00;,00;,00
12.01.2020;06:00;-,20;5,19;8,45;,00;,00;,00
12.01.2020;07:00;-,34;4,65;8,57;,00;,00;,00
12.01.2020;08:00;-,36;4,07;7,28;,00;,00;,00
12.01.2020;09:00;,00;4,78;9,24;28,36;,00;,00
12.01.2020;10:00;,56;5,39;9,92;44,42;,00;,00
12.01.2020;11:00;1,10;5,74;11,06;89,31;,00;,00
12.01.2020;12:00;1,30;6,21;11,03;78,89;,00;,00
12.01.2020;13:00;1,60;5,97;10,01;40,67;,00;,00
12.01.2020;14:00;1,88;5,62;9,23;42,85;,00;,00
12.01.2020;15:00;2,38;5,23;8,83;20,54;,10;,00
12.01.2020;16:00;2,71;4,97;8,26;,00;,10;,00
12.01.2020;17:00;2,82;4,41;8,10;,00;,00;,00
12.01.2020;18:00;3,03;4,95;8,36;,00;,00;,00
12.01.2020;19:00;3,18;5,17;8,68;,00;,00;,00
12.01.2020;20:00;3,32;4,38;7,47;,00;,00;,00
12.01.2020;21:00;3,39;4,67;8,37;,00;,10;,00
12.01.2020;22:00;3,42;3,68;6,89;,00;,00;,00
12.01.2020;23:00;3,52;4,76;8,72;,00;,00;,00
13.01.2020;00:00;3,57;4,28;8,00;,00;,00;,00
13.01.2020;01:00;3,51;3,91;6,67;,00;,00;,00
13.01.2020;02:00;3,56;4,06;7,08;,00;,20;,00
13.01.2020;03:00;3,44;3,54;6,84;,00;,10;,00
13.01.2020;04:00;3,41;2,42;4,47;,00;,00;,00
13.01.2020;05:00;3,32;2,20;4,05;,00;,00;,00
13.01.2020;06:00;3,32;2,31;4,78;,00;,10;,00
13.01.2020;07:00;3,35;2,53;5,57;,00;,10;,00
13.01.2020;08:00;3,41;2,43;5,26;,00;,60;,00
13.01.2020;09:00;3,44;2,94;6,08;10,54;,40;,00
13.01.2020;10:00;3,57;3,22;6,61;33,68;,50;,00
13.01.2020;11:00;3,53;4,08;8,33;82,19;,10;,00
13.01.2020;12:00;3,19;4,17;8,70;92,07;,00;,01
13.01.2020;13:00;3,41;3,29;7,49;63,92;,00;,00
13.01.2020;14:00;3,62;3,02;5,86;55,87;,00;,00
13.01.2020;15:00;3,80;3,37;6,68;34,60;,10;,00
13.01.2020;16:00;3,85;3,19;6,74;,00;,60;,00
13.01.2020;17:00;4,00;3,98;8,50;,00;,80;,00
13.01.2020;18:00;4,21;5,52;10,46;,00;,40;,00
13.01.2020;19:00;4,28;5,10;10,23;,00;,50;,00
13.01.2020;20:00;4,12;4,61;8,87;,00;,20;,00
13.01.2020;21:00;4,36;5,92;12,08;,00;,90;,00
13.01.2020;22:00;4,46;5,53;11,12;,00;,10;,00
13.01.2020;23:00;4,55;5,93;11,89;,00;,00;,00
14.01.2020;00:00;4,43;6,53;11,28;,00;,00;,00
14.01.2020;01:00;4,33;6,80;11,64;,00;,10;,00
14.01.2020;02:00;4,01;6,36;10,93;,00;,60;,00
14.01.2020;03:00;3,85;6,32;11,14;,00;,40;,00
14.01.2020;04:00;4,06;6,12;11,24;,00;,00;,00
14.01.2020;05:00;4,37;6,08;10,77;,00;,00;,00
14.01.2020;06:00;4,20;6,37;11,07;,00;,40;,00
14.01.2020;07:00;3,74;6,02;10,15;,00;,30;,00
14.01.2020;08:00;3,60;5,42;10,46;,00;,40;,00
14.01.2020;09:00;3,90;5,23;9,33;33,58;,10;,00
14.01.2020;10:00;4,62;4,28;8,60;68,91;,00;,00
14.01.2020;11:00;4,33;5,82;12,36;108,56;,30;,00
14.01.2020;12:00;4,61;5,63;11,92;146,20;,20;,00
14.01.2020;13:00;5,17;6,52;12,61;132,64;,30;,00
14.01.2020;14:00;4,90;5,87;12,59;93,82;,20;,00
14.01.2020;15:00;4,74;6,03;11,80;55,78;,50;,00
14.01.2020;16:00;4,89;6,01;11,03;16,23;,50;,00
14.01.2020;17:00;5,19;6,24;11,76;,00;,20;,00
14.01.2020;18:00;5,49;5,17;11,47;,00;,00;,00
