Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2017;00:00;-3,87;1,32;1,50;,00;,00;,00
01.01.2017;01:00;-3,87;1,22;1,60;,00;,00;,00
01.01.2017;02:00;-3,87;1,03;1,20;,00;,00;,00
01.01.2017;03:00;-3,97;1,00;1,20;,00;,00;,00
01.01.2017;04:00;-4,03;1,15;1,20;,00;,00;,00
01.01.2017;05:00;-4,03;1,13;1,50;,00;,00;,00
01.01.2017;06:00;-4,03;1,28;1,60;,00;,00;,00
01.01.2017;07:00;-4,00;1,38;1,60;,00;,00;,00
01.01.2017;08:00;-3,98;1,58;2,00;,00;,00;,00
01.01.2017;09:00;-3,70;1,50;1,80;,00;,00;,00
01.01.2017;10:00;-3,55;1,62;2,20;,00;,00;,00
01.01.2017;11:00;-3,42;2,58;3,40;,00;,00;,00
01.01.2017;12:00;-3,30;2,47;3,20;,00;,00;,00
01.01.2017;13:00;-3,20;2,62;3,30;,00;,00;,00
01.01.2017;14:00;-3,20;2,17;3,20;,00;,00;,00
01.01.2017;15:00;-3,45;2,17;3,40;,00;,00;,00
01.01.2017;16:00;-3,75;2,27;3,40;,00;,00;,00
01.01.2017;17:00;-3,87;1,63;2,60;,00;,00;,00
01.01.2017;18:00;-4,12;1,98;3,20;,00;,00;,00
01.01.2017;19:00;-4,22;1,32;2,00;,00;,00;,00
01.01.2017;20:00;-4,25;1,38;2,80;,00;,00;,00
01.01.2017;21:00;-4,28;1,85;2,50;,00;,00;,00
01.01.2017;22:00;-4,15;1,62;2,30;,00;,00;,00
01.01.2017;23:00;-3,65;,87;1,10;,00;,00;,00
02.01.2017;00:00;-3,22;1,13;1,60;,00;,00;,00
02.01.2017;01:00;-3,03;1,65;2,40;,00;,00;,00
02.01.2017;02:00;-2,65;1,53;2,60;,00;,00;,00
02.01.2017;03:00;-2,30;1,83;2,30;,00;,00;,00
02.01.2017;04:00;-2,02;1,10;1,60;,00;,10;,00
02.01.2017;05:00;-1,97;1,03;1,70;,00;,00;,00
02.01.2017;06:00;-1,75;1,05;2,30;,00;,00;,00
02.01.2017;07:00;-1,67;1,25;2,40;,00;,20;,00
02.01.2017;08:00;-1,55;1,05;1,60;,00;,10;,00
02.01.2017;09:00;-1,37;1,28;2,30;,00;,10;,00
02.01.2017;10:00;-1,13;2,13;3,20;,00;,10;,00
02.01.2017;11:00;-,58;1,82;3,20;,00;,00;,00
02.01.2017;12:00;-,07;1,73;2,70;14,00;,00;,02
02.01.2017;13:00;,40;1,48;3,90;15,67;,00;,03
02.01.2017;14:00;,85;2,20;3,50;386,83;,00;,83
02.01.2017;15:00;1,08;1,63;2,70;341,17;,00;,83
02.01.2017;16:00;-,42;1,57;3,10;26,33;,00;,00
02.01.2017;17:00;-1,23;2,02;3,10;,00;,00;,00
02.01.2017;18:00;-1,35;2,00;3,20;,00;,00;,00
02.01.2017;19:00;-,72;1,38;2,40;,00;,00;,00
02.01.2017;20:00;-,50;1,67;3,20;,00;,00;,00
02.01.2017;21:00;-,37;1,45;2,40;,00;,00;,00
02.01.2017;22:00;-,58;1,35;2,40;,00;,00;,00
02.01.2017;23:00;-,67;1,35;3,50;,00;,00;,00
03.01.2017;00:00;-1,58;1,28;3,40;,00;,00;,00
03.01.2017;01:00;-1,37;1,25;1,90;,00;,00;,00
03.01.2017;02:00;-,70;1,15;2,30;,00;,00;,00
03.01.2017;03:00;-,78;1,95;3,20;,00;,00;,00
03.01.2017;04:00;-,77;1,50;2,30;,00;,00;,00
03.01.2017;05:00;-,58;2,02;3,10;,00;,00;,00
03.01.2017;06:00;-,62;1,40;2,30;,00;,00;,00
03.01.2017;07:00;-,40;1,28;3,10;,00;,00;,00
03.01.2017;08:00;-,50;1,23;3,20;,00;,00;,00
03.01.2017;09:00;-,35;2,43;3,50;,00;,00;,00
03.01.2017;10:00;,60;1,70;3,10;254,00;,00;,48
03.01.2017;11:00;,68;2,67;5,10;116,17;,00;,25
03.01.2017;12:00;,15;3,13;5,70;17,00;,00;,05
03.01.2017;13:00;,27;3,95;6,70;119,67;,00;,30
03.01.2017;14:00;-,05;4,27;7,50;90,33;,00;,23
03.01.2017;15:00;-,82;4,08;7,80;11,00;,00;,02
03.01.2017;16:00;-1,08;3,40;6,30;,00;,00;,00
03.01.2017;17:00;-,97;4,68;6,80;,00;,00;,00
03.01.2017;18:00;-,95;3,97;6,70;,00;,00;,00
03.01.2017;19:00;-1,10;4,40;7,10;,00;,00;,00
03.01.2017;20:00;-1,10;4,48;6,80;,00;,00;,00
03.01.2017;21:00;-1,05;4,48;7,90;,00;,00;,00
03.01.2017;22:00;-,75;4,05;7,10;,00;,00;,00
03.01.2017;23:00;-,80;4,62;7,40;,00;,00;,00
04.01.2017;00:00;-,72;4,43;8,20;,00;,00;,00
04.01.2017;01:00;-,50;4,23;8,00;,00;,00;,00
04.01.2017;02:00;-,23;4,40;9,80;,00;,00;,00
04.01.2017;03:00;-,07;4,78;9,10;,00;,00;,00
04.01.2017;04:00;,08;4,65;8,70;,00;,00;,00
04.01.2017;05:00;,22;4,43;8,50;,00;,00;,00
04.01.2017;06:00;,37;4,40;8,30;,00;,00;,00
04.01.2017;07:00;,42;5,23;9,30;,00;,00;,00
04.01.2017;08:00;,50;5,55;9,10;,00;,00;,00
04.01.2017;09:00;,60;5,20;8,80;,00;,10;,00
04.01.2017;10:00;,80;4,35;7,90;,00;,00;,00
04.01.2017;11:00;,92;3,73;6,40;,00;,30;,00
04.01.2017;12:00;1,22;3,28;6,30;,00;,20;,00
04.01.2017;13:00;1,80;3,08;5,90;,00;,00;,00
04.01.2017;14:00;2,33;2,27;4,00;,00;,00;,00
04.01.2017;15:00;2,37;2,48;9,60;,00;,00;,00
04.01.2017;16:00;1,83;1,95;3,90;,00;,00;,00
04.01.2017;17:00;1,48;2,18;5,70;,00;,00;,00
04.01.2017;18:00;1,35;2,30;5,30;,00;,00;,00
04.01.2017;19:00;1,20;2,70;5,90;,00;,00;,00
04.01.2017;20:00;1,20;2,65;7,30;,00;,10;,00
04.01.2017;21:00;1,27;2,48;6,40;,00;,20;,00
04.01.2017;22:00;1,23;2,70;8,00;,00;,20;,00
04.01.2017;23:00;,43;2,82;6,40;,00;,00;,00
05.01.2017;00:00;,32;2,70;5,80;,00;,00;,00
05.01.2017;01:00;,23;1,93;3,70;,00;,00;,00
05.01.2017;02:00;-,03;2,07;3,10;,00;,00;,00
05.01.2017;03:00;-,17;2,05;2,70;,00;,00;,00
05.01.2017;04:00;-,38;2,23;3,10;,00;,00;,00
05.01.2017;05:00;-,52;1,85;3,10;,00;,00;,00
05.01.2017;06:00;-,13;1,50;3,20;,00;,00;,00
05.01.2017;07:00;,13;1,57;4,40;,00;,10;,00
05.01.2017;08:00;,33;2,30;5,90;,00;,00;,00
05.01.2017;09:00;,90;2,50;4,90;95,33;,00;,40
05.01.2017;10:00;1,13;2,80;4,40;273,50;,20;,60
