Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2021;00:00;,57;1,06;4,83;,00;,00;,00
01.01.2021;01:00;,48;1,50;5,02;,00;,00;,00
01.01.2021;02:00;,48;1,57;5,82;,00;,01;,00
01.01.2021;03:00;,44;1,75;6,00;,00;,01;,00
01.01.2021;04:00;,40;1,36;5,33;,00;,00;,00
01.01.2021;05:00;,34;1,33;5,03;,00;,01;,00
01.01.2021;06:00;,21;1,38;5,07;,00;,00;,00
01.01.2021;07:00;,26;1,16;5,17;,00;,01;,00
01.01.2021;08:00;,21;,79;4,43;,00;,01;,00
01.01.2021;09:00;,04;,69;13,76;11,38;,00;,00
01.01.2021;10:00;,46;,38;14,67;60,36;,00;,00
01.01.2021;11:00;,86;,58;6,47;107,91;,00;,00
01.01.2021;12:00;1,20;1,04;15,16;165,66;,00;,00
01.01.2021;13:00;,89;1,16;6,17;69,67;,00;,00
01.01.2021;14:00;,93;1,09;5,03;55,61;,00;,00
01.01.2021;15:00;,99;,63;4,55;23,41;,00;,00
01.01.2021;16:00;1,02;,56;29,71;,00;,00;,00
01.01.2021;17:00;,72;,85;4,88;,00;,00;,00
01.01.2021;18:00;,46;,74;6,31;,00;,00;,00
01.01.2021;19:00;,12;,76;7,83;,00;,00;,00
01.01.2021;20:00;-,46;,84;4,17;,00;,01;,00
01.01.2021;21:00;-,96;,84;7,85;,00;,01;,00
01.01.2021;22:00;-1,50;,73;4,65;,00;,00;,00
01.01.2021;23:00;-2,11;,88;4,39;,00;,00;,00
02.01.2021;00:00;-2,69;,73;4,38;,00;,00;,00
02.01.2021;01:00;-2,83;,68;4,11;,00;,00;,00
02.01.2021;02:00;-2,38;1,07;5,60;,00;,00;,00
02.01.2021;03:00;-2,05;,86;5,37;,00;,00;,00
02.01.2021;04:00;-2,09;,91;6,00;,00;,00;,00
02.01.2021;05:00;-2,28;,92;5,36;,00;,00;,00
02.01.2021;06:00;-2,27;1,21;5,43;,00;,00;,00
02.01.2021;07:00;-2,04;,93;5,03;,00;,01;,00
02.01.2021;08:00;-1,81;,56;4,63;,00;,00;,00
02.01.2021;09:00;-1,63;,48;3,99;28,14;,00;,00
02.01.2021;10:00;-1,45;,76;4,70;64,62;,00;,00
02.01.2021;11:00;-1,03;,69;5,49;155,54;,00;,06
02.01.2021;12:00;-,32;,53;3,99;208,63;,00;,17
02.01.2021;13:00;,14;,72;5,44;156,14;,00;,00
02.01.2021;14:00;,61;,60;4,68;87,66;,00;,00
02.01.2021;15:00;,65;,67;4,39;38,85;,00;,00
02.01.2021;16:00;,27;,61;4,91;10,72;,00;,00
