Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2017;00:00;-4,12;1,92;3,80;,00;,00;,00
01.01.2017;01:00;-4,00;1,83;3,60;,00;,00;,00
01.01.2017;02:00;-4,00;2,02;3,30;,00;,00;,00
01.01.2017;03:00;-4,00;2,07;3,30;,00;,00;,00
01.01.2017;04:00;-4,08;2,25;3,50;,00;,00;,00
01.01.2017;05:00;-4,13;1,85;3,90;,00;,00;,00
01.01.2017;06:00;-4,00;2,07;3,60;,00;,00;,00
01.01.2017;07:00;-3,85;2,23;4,10;,00;,00;,00
01.01.2017;08:00;-3,80;2,55;5,00;,00;,00;,00
01.01.2017;09:00;-3,75;2,88;5,40;,00;,00;,00
01.01.2017;10:00;-3,62;2,82;6,00;,00;,00;,00
01.01.2017;11:00;-3,53;3,15;6,10;,00;,00;,00
01.01.2017;12:00;-3,52;3,53;5,90;,00;,00;,00
01.01.2017;13:00;-3,52;3,40;6,40;,00;,00;,00
01.01.2017;14:00;-3,37;3,42;6,40;,00;,00;,00
01.01.2017;15:00;-3,13;3,32;5,90;,00;,00;,00
01.01.2017;16:00;-3,23;3,07;5,20;,00;,00;,00
01.01.2017;17:00;-3,32;1,90;3,90;,00;,00;,00
01.01.2017;18:00;-3,57;1,98;4,40;,00;,00;,00
01.01.2017;19:00;-3,70;2,25;4,60;,00;,00;,00
01.01.2017;20:00;-3,98;2,28;4,70;,00;,00;,00
01.01.2017;21:00;-3,93;2,35;4,70;,00;,00;,00
01.01.2017;22:00;-3,87;2,55;4,60;,00;,00;,00
01.01.2017;23:00;-3,60;1,42;2,40;,00;,00;,00
02.01.2017;00:00;-3,23;1,90;2,60;,00;,00;,00
02.01.2017;01:00;-2,90;2,55;4,60;,00;,00;,00
02.01.2017;02:00;-2,65;2,27;3,40;,00;,00;,00
02.01.2017;03:00;-2,40;2,58;4,10;,00;,00;,00
02.01.2017;04:00;-2,13;1,55;3,00;,00;,00;,00
02.01.2017;05:00;-1,78;2,10;3,20;,00;,00;,00
02.01.2017;06:00;-1,53;1,57;2,80;,00;,00;,00
02.01.2017;07:00;-1,42;1,10;2,20;,00;,00;,00
02.01.2017;08:00;-1,30;1,07;2,20;,00;,00;,00
02.01.2017;09:00;-,95;,70;1,90;,00;,00;,00
02.01.2017;10:00;-,68;,62;,90;,00;,00;,00
02.01.2017;11:00;-,03;,65;2,60;,00;1,10;,00
02.01.2017;12:00;,70;1,37;2,80;16,83;,60;,05
02.01.2017;13:00;1,47;1,38;3,60;,00;,00;,00
02.01.2017;14:00;1,80;,88;2,20;272,83;,00;,55
02.01.2017;15:00;2,10;1,15;2,30;318,50;,00;,95
02.01.2017;16:00;-,67;,92;1,70;19,83;,00;,00
02.01.2017;17:00;-2,45;,68;1,20;,00;,00;,00
02.01.2017;18:00;-2,70;,62;1,40;,00;,00;,00
02.01.2017;19:00;-2,63;,67;1,00;,00;,00;,00
02.01.2017;20:00;-1,85;,65;1,30;,00;,00;,00
02.01.2017;21:00;-1,13;,68;1,50;,00;,00;,00
02.01.2017;22:00;-,97;,68;1,50;,00;,00;,00
02.01.2017;23:00;-1,42;,82;1,40;,00;,00;,00
03.01.2017;00:00;-2,07;,73;1,50;,00;,00;,00
03.01.2017;01:00;-3,10;,63;1,40;,00;,00;,00
03.01.2017;02:00;-2,98;,98;3,90;,00;,00;,00
03.01.2017;03:00;-2,50;1,30;2,80;,00;,00;,00
03.01.2017;04:00;-2,27;,63;1,60;,00;,00;,00
03.01.2017;05:00;-2,27;,70;1,50;,00;,00;,00
03.01.2017;06:00;-1,95;1,25;2,90;,00;,00;,00
03.01.2017;07:00;-1,25;1,72;3,30;,00;,00;,00
03.01.2017;08:00;-,55;2,20;3,30;,00;,00;,00
03.01.2017;09:00;-,12;,82;1,80;,00;,00;,00
03.01.2017;10:00;,75;1,42;3,40;170,83;,00;,40
03.01.2017;11:00;1,92;2,70;6,10;339,00;,00;,60
03.01.2017;12:00;1,40;2,72;6,20;107,33;,00;,25
03.01.2017;13:00;1,12;3,40;6,80;162,00;,00;,32
03.01.2017;14:00;,82;3,40;6,90;57,00;,00;,12
03.01.2017;15:00;-,20;3,40;7,10;13,50;,00;,00
03.01.2017;16:00;-,50;2,22;5,70;,00;,00;,00
03.01.2017;17:00;-,50;3,22;7,60;,00;,00;,00
03.01.2017;18:00;-,52;3,77;7,40;,00;,00;,00
03.01.2017;19:00;-,52;3,85;6,70;,00;,00;,00
03.01.2017;20:00;-,55;4,03;7,80;,00;,00;,00
03.01.2017;21:00;-,52;4,17;7,70;,00;,00;,00
03.01.2017;22:00;-,38;3,87;6,40;,00;,00;,00
03.01.2017;23:00;-,44;5,20;8,80;,00;,00;,00
04.01.2017;00:00;-,35;5,02;8,40;,00;,00;,00
04.01.2017;01:00;-,12;4,05;8,20;,00;,00;,00
04.01.2017;02:00;,17;3,90;9,00;,00;,00;,00
04.01.2017;03:00;,42;3,92;8,90;,00;,00;,00
04.01.2017;04:00;,50;3,60;7,10;,00;,10;,00
04.01.2017;05:00;,65;3,32;7,50;,00;,10;,00
04.01.2017;06:00;,83;3,88;7,40;,00;,00;,00
04.01.2017;07:00;,97;3,65;8,70;,00;,00;,00
04.01.2017;08:00;1,02;3,10;7,00;,00;,40;,00
04.01.2017;09:00;1,15;3,15;7,40;,00;,00;,00
04.01.2017;10:00;1,43;3,38;7,80;,00;,20;,00
04.01.2017;11:00;1,58;2,47;6,30;,00;,30;,00
04.01.2017;12:00;1,85;2,88;7,30;,00;,50;,00
04.01.2017;13:00;2,57;2,47;5,20;,00;,00;,00
04.01.2017;14:00;3,52;2,20;5,60;46,00;,20;,12
04.01.2017;15:00;2,70;1,83;6,10;,00;,00;,00
04.01.2017;16:00;2,03;1,57;3,40;,00;,00;,00
04.01.2017;17:00;2,03;2,23;4,90;,00;,00;,00
04.01.2017;18:00;1,82;2,08;5,10;,00;,00;,00
04.01.2017;19:00;1,55;1,88;5,80;,00;,00;,00
04.01.2017;20:00;1,53;2,15;5,50;,00;,20;,00
04.01.2017;21:00;,97;1,85;4,30;,00;,00;,00
04.01.2017;22:00;1,18;3,08;9,90;,00;,10;,00
04.01.2017;23:00;1,08;2,08;5,20;,00;,00;,00
05.01.2017;00:00;-,60;,72;2,90;,00;,00;,00
05.01.2017;01:00;-2,32;,57;1,10;,00;,00;,00
05.01.2017;02:00;-2,58;1,02;2,00;,00;,00;,00
05.01.2017;03:00;-2,85;1,32;2,10;,00;,00;,00
05.01.2017;04:00;-2,23;,50;2,20;,00;,00;,00
05.01.2017;05:00;-3,28;,58;1,10;,00;,00;,00
05.01.2017;06:00;-2,97;1,00;1,50;,00;,00;,00
05.01.2017;07:00;-1,78;,62;1,30;,00;,00;,00
05.01.2017;08:00;-1,08;,53;1,10;,00;,00;,00
05.01.2017;09:00;-,48;1,10;2,60;145,33;,00;,57
05.01.2017;10:00;1,40;1,45;6,10;437,67;,10;,78
05.01.2017;11:00;1,88;3,93;8,80;396,67;,00;,63
05.01.2017;12:00;1,12;4,18;8,40;110,67;,00;,20
05.01.2017;13:00;1,18;3,77;8,20;218,33;,00;,47
05.01.2017;14:00;1,12;3,35;6,40;425,17;,00;,63
05.01.2017;15:00;,02;3,30;6,70;13,83;,00;,00
05.01.2017;16:00;-,85;1,63;3,20;,00;,00;,00
05.01.2017;17:00;-3,40;,70;2,20;,00;,00;,00
05.01.2017;18:00;-3,42;1,47;2,60;,00;,00;,00
05.01.2017;19:00;-5,48;1,05;1,60;,00;,00;,00
05.01.2017;20:00;-6,40;,82;1,50;,00;,00;,00
05.01.2017;21:00;-6,38;1,18;2,00;,00;,00;,00
05.01.2017;22:00;-7,37;,80;2,00;,00;,00;,00
05.01.2017;23:00;-8,00;1,34;1,90;,00;,00;,00
06.01.2017;00:00;-6,38;1,50;3,30;,00;,00;,00
06.01.2017;01:00;-8,77;,52;1,10;,00;,00;,00
06.01.2017;02:00;-9,52;,57;,90;,00;,00;,00
06.01.2017;03:00;-10,07;,47;1,20;,00;,00;,00
06.01.2017;04:00;-10,38;,57;1,10;,00;,00;,00
06.01.2017;05:00;-10,37;,75;1,50;,00;,00;,00
06.01.2017;06:00;-10,80;,62;1,30;,00;,00;,00
06.01.2017;07:00;-10,57;,75;1,20;,00;,00;,00
06.01.2017;08:00;-9,52;,98;1,90;,00;,00;,00
06.01.2017;09:00;-8,38;,72;1,50;424,50;,00;,82
06.01.2017;10:00;-6,43;,88;1,90;441,50;,00;,93
06.01.2017;11:00;-4,82;,82;1,60;373,67;,00;,92
06.01.2017;12:00;-3,62;1,02;1,70;320,00;,00;,82
06.01.2017;13:00;-2,18;1,13;2,20;567,50;,00;1,00
06.01.2017;14:00;-2,67;,92;2,40;370,67;,00;,65
06.01.2017;15:00;-3,20;,65;1,50;421,67;,00;,85
06.01.2017;16:00;-5,00;,57;,90;62,17;,00;,20
06.01.2017;17:00;-8,35;,45;,80;,00;,00;,00
06.01.2017;18:00;-9,27;,50;,90;,00;,00;,00
06.01.2017;19:00;-9,93;,37;1,00;,00;,00;,00
06.01.2017;20:00;-10,50;,42;,90;,00;,00;,00
06.01.2017;21:00;-10,90;,45;,90;,00;,00;,00
06.01.2017;22:00;-11,05;,33;,80;,00;,00;,00
06.01.2017;23:00;-11,20;,47;1,10;,00;,00;,00
07.01.2017;00:00;-10,52;,50;2,30;,00;,00;,00
07.01.2017;01:00;-9,43;,62;1,10;,00;,00;,00
07.01.2017;02:00;-9,00;,50;1,10;,00;,00;,00
07.01.2017;03:00;-9,57;,80;1,30;,00;,00;,00
07.01.2017;04:00;-9,97;,55;,90;,00;,00;,00
07.01.2017;05:00;-9,70;,58;1,10;,00;,00;,00
07.01.2017;06:00;-8,82;,57;1,40;,00;,00;,00
07.01.2017;07:00;-8,38;,72;1,30;,00;,00;,00
07.01.2017;08:00;-7,78;,65;1,40;,00;,00;,00
07.01.2017;09:00;-6,83;,48;1,10;,00;,00;,00
07.01.2017;10:00;-5,97;1,37;3,50;,00;,00;,00
07.01.2017;11:00;-4,92;2,52;4,10;,00;,00;,00
07.01.2017;12:00;-4,35;2,80;4,10;,00;,00;,00
07.01.2017;13:00;-4,15;2,32;4,40;,00;,00;,00
07.01.2017;14:00;-4,03;2,63;4,40;,00;,00;,00
07.01.2017;15:00;-3,90;2,50;3,90;,00;,00;,00
07.01.2017;16:00;-3,92;2,83;4,10;,00;,00;,00
07.01.2017;17:00;-3,83;2,87;4,20;,00;,00;,00
07.01.2017;18:00;-3,68;3,10;4,70;,00;,00;,00
07.01.2017;19:00;-3,50;2,55;3,80;,00;,00;,00
07.01.2017;20:00;-3,22;2,43;4,00;,00;,00;,00
07.01.2017;21:00;-3,20;2,12;3,90;,00;,00;,00
07.01.2017;22:00;-3,20;2,27;3,60;,00;,00;,00
07.01.2017;23:00;-3,10;2,18;3,20;,00;,00;,00
08.01.2017;00:00;-2,92;2,27;3,30;,00;,00;,00
08.01.2017;01:00;-2,60;1,75;2,80;,00;,00;,00
08.01.2017;02:00;-2,37;1,75;3,30;,00;,00;,00
08.01.2017;03:00;-2,27;,93;2,60;,00;,00;,00
08.01.2017;04:00;-2,33;,85;1,60;,00;,00;,00
08.01.2017;05:00;-2,30;,65;1,60;,00;,00;,00
08.01.2017;06:00;-1,92;,62;1,10;,00;,00;,00
08.01.2017;07:00;-1,78;,68;1,10;,00;,00;,00
08.01.2017;08:00;-1,63;,67;1,00;,00;,00;,00
08.01.2017;09:00;-1,00;,88;2,00;,00;,00;,00
08.01.2017;10:00;-,15;,55;1,50;207,50;,10;,37
08.01.2017;11:00;2,42;,72;1,60;568,83;,00;1,00
08.01.2017;12:00;3,18;,88;1,90;173,00;,00;,40
08.01.2017;13:00;2,52;,58;1,30;,00;,00;,00
08.01.2017;14:00;2,63;,72;1,10;,00;,10;,00
08.01.2017;15:00;2,22;,60;1,10;,00;,10;,00
08.01.2017;16:00;1,60;,70;2,40;,00;,00;,00
08.01.2017;17:00;1,00;,73;2,00;,00;,00;,00
