Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2018;00:00;9,42;6,21;12,00;,00;,00;,00
01.01.2018;01:00;9,18;6,68;12,53;,00;,00;,00
01.01.2018;02:00;9,00;6,75;13,22;,00;,00;,00
01.01.2018;03:00;8,36;7,67;14,34;,00;,00;,00
01.01.2018;04:00;6,61;6,89;13,88;,00;2,20;,00
01.01.2018;05:00;6,27;5,21;11,87;,00;,10;,00
01.01.2018;06:00;6,63;6,09;12,82;,00;,00;,00
01.01.2018;07:00;6,32;6,21;11,97;,00;,00;,00
01.01.2018;08:00;6,48;4,48;11,25;,00;,00;,00
01.01.2018;09:00;6,55;4,78;9,34;21,55;,00;,00
01.01.2018;10:00;6,71;4,81;11,25;55,72;,00;,00
01.01.2018;11:00;6,75;4,11;8,94;42,11;,00;,00
01.01.2018;12:00;6,93;4,10;9,27;36,28;,00;,00
01.01.2018;13:00;6,79;5,57;12,17;24,89;1,00;,00
01.01.2018;14:00;5,86;5,58;14,93;13,50;3,10;,00
01.01.2018;15:00;5,08;5,11;13,28;11,97;1,70;,00
01.01.2018;16:00;5,57;6,58;13,22;,00;,50;,00
01.01.2018;17:00;5,51;6,10;14,63;,00;1,60;,00
01.01.2018;18:00;5,47;5,28;11,25;,00;,70;,00
01.01.2018;19:00;6,20;4,94;10,29;,00;1,20;,00
01.01.2018;20:00;6,15;4,03;8,71;,00;1,10;,00
01.01.2018;21:00;6,12;4,06;10,92;,00;,90;,00
01.01.2018;22:00;6,15;5,65;14,63;,00;,00;,00
01.01.2018;23:00;5,58;5,80;12,60;,00;,00;,00
02.01.2018;00:00;5,11;4,12;11,64;,00;,00;,00
02.01.2018;01:00;5,19;2,94;5,36;,00;,00;,00
02.01.2018;02:00;5,55;3,93;10,62;,00;,10;,00
02.01.2018;03:00;5,16;3,58;7,99;,00;,20;,00
02.01.2018;04:00;5,03;3,64;12,00;,00;,10;,00
02.01.2018;05:00;5,28;4,30;8,94;,00;,00;,00
02.01.2018;06:00;5,47;4,35;10,62;,00;,00;,00
02.01.2018;07:00;5,47;4,14;7,73;,00;,00;,00
02.01.2018;08:00;5,39;3,76;8,61;,00;,00;,00
02.01.2018;09:00;5,55;3,45;7,43;20,72;,00;,00
02.01.2018;10:00;5,53;2,73;6,64;59,05;,00;,03
02.01.2018;11:00;5,97;3,51;7,10;93,92;,00;,16
02.01.2018;12:00;6,30;3,57;6,91;111,00;,00;,00
02.01.2018;13:00;6,29;3,95;7,59;128,50;,00;,00
02.01.2018;14:00;6,18;2,34;5,98;66,42;,00;,00
02.01.2018;15:00;6,32;2,49;5,98;32,67;,00;,00
02.01.2018;16:00;6,40;3,21;7,23;,00;,00;,00
02.01.2018;17:00;6,41;3,30;7,59;,00;,30;,00
02.01.2018;18:00;5,96;2,84;6,77;,00;,10;,00
02.01.2018;19:00;5,81;4,64;9,67;,00;,30;,00
02.01.2018;20:00;5,66;5,30;11,54;,00;,40;,00
02.01.2018;21:00;5,57;4,51;10,75;,00;,30;,00
02.01.2018;22:00;5,73;3,89;8,94;,00;,10;,00
02.01.2018;23:00;6,13;4,06;9,57;,00;,10;,00
03.01.2018;00:00;6,68;4,20;9,90;,00;,10;,00
03.01.2018;01:00;7,58;4,64;10,62;,00;,10;,00
03.01.2018;02:00;8,50;4,85;10,19;,00;,80;,00
03.01.2018;03:00;9,80;5,22;15,29;,00;,90;,00
03.01.2018;04:00;11,00;7,97;16,57;,00;,60;,00
03.01.2018;05:00;11,59;8,40;19,57;,00;,20;,00
03.01.2018;06:00;10,81;8,37;18,48;,00;6,00;,00
03.01.2018;07:00;9,02;7,11;17,92;,00;1,60;,00
03.01.2018;08:00;8,19;6,93;16,44;,00;,00;,00
03.01.2018;09:00;7,49;7,27;22,03;10,16;,40;,00
03.01.2018;10:00;7,83;8,88;21,80;66,83;,00;,03
03.01.2018;11:00;7,91;8,66;20,39;108,36;,00;,15
03.01.2018;12:00;7,77;9,99;19,11;150,58;,00;,25
03.01.2018;13:00;7,64;8,03;14,63;106,00;,00;,05
03.01.2018;14:00;7,83;8,54;17,76;61,69;,50;,03
03.01.2018;15:00;7,36;7,34;15,59;59,75;,00;,06
03.01.2018;16:00;7,78;7,39;15,85;20,72;,10;,00
03.01.2018;17:00;7,21;5,92;13,88;,00;,30;,00
03.01.2018;18:00;7,25;6,92;13,94;,00;,10;,00
03.01.2018;19:00;7,44;5,80;10,92;,00;,00;,00
03.01.2018;20:00;6,98;6,76;13,88;,00;,10;,00
03.01.2018;21:00;6,43;4,69;10,19;,00;,40;,00
03.01.2018;22:00;6,39;5,42;10,62;,00;,50;,00
03.01.2018;23:00;6,18;4,36;8,94;,00;,20;,00
04.01.2018;00:00;6,33;3,62;7,23;,00;,40;,00
04.01.2018;01:00;6,46;5,02;9,57;,00;,20;,00
04.01.2018;02:00;6,52;5,33;11,54;,00;,10;,00
04.01.2018;03:00;6,06;4,77;10,46;,00;,20;,00
04.01.2018;04:00;5,60;2,04;5,36;,00;,00;,00
04.01.2018;05:00;5,80;2,07;3,98;,00;,00;,00
04.01.2018;06:00;6,26;2,59;4,96;,00;,00;,00
04.01.2018;07:00;6,37;2,79;5,52;,00;,30;,00
04.01.2018;08:00;6,62;2,66;5,98;,00;,80;,00
04.01.2018;09:00;6,81;2,19;3,85;,00;1,60;,00
04.01.2018;10:00;7,26;2,78;5,52;38,64;,70;,00
04.01.2018;11:00;7,77;2,90;5,98;48,50;1,50;,00
04.01.2018;12:00;8,16;2,66;5,13;66,00;1,30;,00
04.01.2018;13:00;9,06;2,01;4,11;44,61;1,10;,00
04.01.2018;14:00;12,13;5,65;11,25;43,92;,60;,00
04.01.2018;15:00;12,48;4,92;10,62;18,64;,90;,00
04.01.2018;16:00;12,63;6,21;13,25;,00;,40;,00
04.01.2018;17:00;12,56;6,07;11,97;,00;,70;,00
04.01.2018;18:00;11,93;5,78;12,17;,00;1,60;,00
04.01.2018;19:00;11,31;5,83;16,18;,00;,10;,00
04.01.2018;20:00;10,23;5,64;12,53;,00;,00;,00
04.01.2018;21:00;9,80;6,36;16,94;,00;,00;,00
04.01.2018;22:00;9,30;5,12;13,88;,00;,00;,00
04.01.2018;23:00;8,44;5,22;11,25;,00;,00;,00
05.01.2018;00:00;7,43;4,29;8,15;,00;,00;,00
05.01.2018;01:00;7,32;3,90;8,06;,00;,00;,00
05.01.2018;02:00;7,36;4,06;8,94;,00;,00;,00
05.01.2018;03:00;7,69;4,17;8,32;,00;,00;,00
05.01.2018;04:00;8,41;4,50;11,25;,00;,00;,00
05.01.2018;05:00;8,51;5,70;11,54;,00;,10;,00
05.01.2018;06:00;8,65;5,96;11,90;,00;,00;,00
05.01.2018;07:00;8,45;6,07;12,82;,00;,00;,00
05.01.2018;08:00;8,20;4,36;9,57;,00;,10;,00
05.01.2018;09:00;8,26;3,22;6,64;10,30;,20;,00
05.01.2018;10:00;8,30;2,65;6,02;24,89;,60;,00
05.01.2018;11:00;8,18;2,30;3,98;59,75;,00;,00
05.01.2018;12:00;7,88;1,66;3,39;35,86;,30;,31
05.01.2018;13:00;7,74;1,36;3,39;54,61;,50;,00
05.01.2018;14:00;7,88;2,10;3,98;59,19;,00;,00
05.01.2018;15:00;8,34;1,17;2,83;58,78;,00;,03
05.01.2018;16:00;8,51;2,14;4,64;25,44;,00;,31
05.01.2018;17:00;8,56;2,83;6,02;,00;,00;,00
05.01.2018;18:00;8,45;2,48;5,36;,00;,00;,00
05.01.2018;19:00;8,26;2,48;5,36;,00;,00;,00
05.01.2018;20:00;8,47;2,46;6,02;,00;,00;,00
05.01.2018;21:00;8,60;2,36;4,64;,00;,00;,00
05.01.2018;22:00;8,53;2,70;5,13;,00;,00;,00
05.01.2018;23:00;8,31;3,15;5,36;,00;,00;,00
06.01.2018;00:00;7,96;2,31;4,34;,00;,00;,00
06.01.2018;01:00;7,49;2,08;4,34;,00;,00;,00
06.01.2018;02:00;6,79;1,70;3,06;,00;,00;,00
06.01.2018;03:00;6,36;,98;1,71;,00;,00;,00
06.01.2018;04:00;6,56;,46;,75;,00;,00;,31
06.01.2018;05:00;6,50;,46;,75;,00;,10;,31
06.01.2018;06:00;6,37;,41;,75;,00;,10;,31
06.01.2018;07:00;6,37;,62;,75;,00;,00;,31
06.01.2018;08:00;6,51;,73;1,08;,00;,00;,31
06.01.2018;09:00;6,52;,65;1,08;,00;,00;,31
06.01.2018;10:00;6,72;1,17;1,71;19,33;,20;,31
06.01.2018;11:00;7,05;1,03;1,71;49,47;,10;,00
06.01.2018;12:00;7,44;1,41;2,04;67,80;,00;,31
06.01.2018;13:00;7,89;1,16;1,71;37,67;,20;,31
06.01.2018;14:00;7,71;1,65;2,83;33,36;,90;,00
06.01.2018;15:00;7,62;1,81;3,39;27,53;,50;,00
06.01.2018;16:00;7,42;2,00;3,39;,00;,80;,00
06.01.2018;17:00;7,16;1,50;2,37;,00;,60;,00
06.01.2018;18:00;7,05;1,80;3,06;,00;,70;,00
06.01.2018;19:00;7,01;2,65;5,98;,00;,30;,00
06.01.2018;20:00;6,72;2,77;4,80;,00;,50;,00
06.01.2018;21:00;6,32;2,38;4,64;,00;,60;,00
06.01.2018;22:00;6,17;2,28;4,96;,00;,90;,00
