Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2018 00:00;01.01.2018 01:00;479,00;479,00;374,75
01.01.2018 01:00;01.01.2018 02:00;440,25;440,25;335,50
01.01.2018 02:00;01.01.2018 03:00;410,75;410,75;306,25
01.01.2018 03:00;01.01.2018 04:00;407,75;407,75;306,75
01.01.2018 04:00;01.01.2018 05:00;401,00;401,00;301,25
01.01.2018 05:00;01.01.2018 06:00;409,75;409,75;311,75
01.01.2018 06:00;01.01.2018 07:00;426,50;426,50;333,75
01.01.2018 07:00;01.01.2018 08:00;385,75;385,75;296,25
01.01.2018 08:00;01.01.2018 09:00;323,00;323,00;237,50
01.01.2018 09:00;01.01.2018 10:00;309,50;309,50;218,50
01.01.2018 10:00;01.01.2018 11:00;301,00;301,00;215,25
01.01.2018 11:00;01.01.2018 12:00;380,50;380,50;300,50
01.01.2018 12:00;01.01.2018 13:00;442,75;442,75;370,25
01.01.2018 13:00;01.01.2018 14:00;504,50;504,50;414,25
01.01.2018 14:00;01.01.2018 15:00;438,50;438,50;336,75
01.01.2018 15:00;01.01.2018 16:00;274,00;274,00;184,25
01.01.2018 16:00;01.01.2018 17:00;156,00;156,00;72,25
01.01.2018 17:00;01.01.2018 18:00;137,00;137,00;44,75
01.01.2018 18:00;01.01.2018 19:00;102,50;102,50;7,00
01.01.2018 19:00;01.01.2018 20:00;213,25;213,25;136,25
01.01.2018 20:00;01.01.2018 21:00;231,75;231,75;157,75
01.01.2018 21:00;01.01.2018 22:00;198,25;198,25;95,00
01.01.2018 22:00;01.01.2018 23:00;149,75;149,75;43,50
01.01.2018 23:00;02.01.2018 00:00;145,50;145,50;40,25
02.01.2018 00:00;02.01.2018 01:00;70,75;70,75;-21,75
02.01.2018 01:00;02.01.2018 02:00;107,75;107,75;17,25
02.01.2018 02:00;02.01.2018 03:00;104,00;104,00;20,25
02.01.2018 03:00;02.01.2018 04:00;149,00;149,00;65,25
02.01.2018 04:00;02.01.2018 05:00;132,50;132,50;41,00
02.01.2018 05:00;02.01.2018 06:00;184,50;184,50;85,75
02.01.2018 06:00;02.01.2018 07:00;255,25;255,25;156,75
02.01.2018 07:00;02.01.2018 08:00;421,75;421,75;335,25
02.01.2018 08:00;02.01.2018 09:00;541,50;541,50;458,75
02.01.2018 09:00;02.01.2018 10:00;531,50;531,50;449,00
02.01.2018 10:00;02.01.2018 11:00;559,75;559,75;495,00
02.01.2018 11:00;02.01.2018 12:00;599,25;599,25;545,00
02.01.2018 12:00;02.01.2018 13:00;593,25;593,25;540,25
02.01.2018 13:00;02.01.2018 14:00;553,25;553,25;498,50
02.01.2018 14:00;02.01.2018 15:00;527,75;527,75;486,25
02.01.2018 15:00;02.01.2018 16:00;491,25;491,25;457,00
02.01.2018 16:00;02.01.2018 17:00;444,50;444,50;404,50
02.01.2018 17:00;02.01.2018 18:00;455,25;455,25;389,25
02.01.2018 18:00;02.01.2018 19:00;486,75;486,75;418,00
02.01.2018 19:00;02.01.2018 20:00;436,00;436,00;346,75
02.01.2018 20:00;02.01.2018 21:00;422,00;422,00;321,25
02.01.2018 21:00;02.01.2018 22:00;346,25;346,25;258,00
02.01.2018 22:00;02.01.2018 23:00;384,75;384,75;324,25
02.01.2018 23:00;03.01.2018 00:00;410,00;410,00;339,75
03.01.2018 00:00;03.01.2018 01:00;397,75;397,75;320,00
03.01.2018 01:00;03.01.2018 02:00;379,25;379,25;281,00
03.01.2018 02:00;03.01.2018 03:00;338,75;338,75;230,25
03.01.2018 03:00;03.01.2018 04:00;312,25;312,25;200,50
03.01.2018 04:00;03.01.2018 05:00;301,50;301,50;193,00
03.01.2018 05:00;03.01.2018 06:00;307,25;307,25;213,25
03.01.2018 06:00;03.01.2018 07:00;338,00;338,00;237,25
03.01.2018 07:00;03.01.2018 08:00;359,25;359,25;257,75
03.01.2018 08:00;03.01.2018 09:00;411,25;411,25;308,25
03.01.2018 09:00;03.01.2018 10:00;455,50;455,50;351,25
03.01.2018 10:00;03.01.2018 11:00;483,00;483,00;369,25
03.01.2018 11:00;03.01.2018 12:00;485,75;485,75;364,75
03.01.2018 12:00;03.01.2018 13:00;490,25;490,25;365,00
03.01.2018 13:00;03.01.2018 14:00;485,50;485,50;367,75
03.01.2018 14:00;03.01.2018 15:00;475,25;475,25;357,75
03.01.2018 15:00;03.01.2018 16:00;468,50;468,50;355,75
03.01.2018 16:00;03.01.2018 17:00;457,50;457,50;347,75
03.01.2018 17:00;03.01.2018 18:00;460,00;460,00;355,75
03.01.2018 18:00;03.01.2018 19:00;499,50;499,50;391,75
03.01.2018 19:00;03.01.2018 20:00;522,25;522,25;414,25
03.01.2018 20:00;03.01.2018 21:00;503,75;503,75;400,75
03.01.2018 21:00;03.01.2018 22:00;463,50;463,50;365,25
03.01.2018 22:00;03.01.2018 23:00;427,00;427,00;335,75
03.01.2018 23:00;04.01.2018 00:00;439,00;439,00;352,25
04.01.2018 00:00;04.01.2018 01:00;421,75;421,75;344,00
04.01.2018 01:00;04.01.2018 02:00;393,25;393,25;310,50
04.01.2018 02:00;04.01.2018 03:00;372,75;372,75;296,50
04.01.2018 03:00;04.01.2018 04:00;360,00;360,00;285,00
04.01.2018 04:00;04.01.2018 05:00;363,00;363,00;301,00
04.01.2018 05:00;04.01.2018 06:00;372,75;372,75;324,00
04.01.2018 06:00;04.01.2018 07:00;408,50;408,50;371,50
04.01.2018 07:00;04.01.2018 08:00;437,50;437,50;395,00
04.01.2018 08:00;04.01.2018 09:00;493,50;493,50;458,75
04.01.2018 09:00;04.01.2018 10:00;555,50;555,50;525,25
04.01.2018 10:00;04.01.2018 11:00;579,75;579,75;545,50
04.01.2018 11:00;04.01.2018 12:00;586,75;586,75;539,00
04.01.2018 12:00;04.01.2018 13:00;589,00;589,00;520,25
04.01.2018 13:00;04.01.2018 14:00;575,00;575,00;479,75
04.01.2018 14:00;04.01.2018 15:00;533,25;533,25;423,25
04.01.2018 15:00;04.01.2018 16:00;501,25;501,25;390,25
04.01.2018 16:00;04.01.2018 17:00;484,50;484,50;376,50
04.01.2018 17:00;04.01.2018 18:00;486,00;486,00;377,50
04.01.2018 18:00;04.01.2018 19:00;511,50;511,50;401,25
04.01.2018 19:00;04.01.2018 20:00;522,25;522,25;409,25
04.01.2018 20:00;04.01.2018 21:00;505,50;505,50;396,75
04.01.2018 21:00;04.01.2018 22:00;467,75;467,75;359,50
04.01.2018 22:00;04.01.2018 23:00;427,25;427,25;322,00
04.01.2018 23:00;05.01.2018 00:00;428,25;428,25;330,25
05.01.2018 00:00;05.01.2018 01:00;420,00;420,00;319,75
05.01.2018 01:00;05.01.2018 02:00;417,75;417,75;321,00
05.01.2018 02:00;05.01.2018 03:00;415,75;415,75;321,50
05.01.2018 03:00;05.01.2018 04:00;381,25;381,25;284,25
05.01.2018 04:00;05.01.2018 05:00;328,25;328,25;224,00
05.01.2018 05:00;05.01.2018 06:00;305,00;305,00;202,25
05.01.2018 06:00;05.01.2018 07:00;360,00;360,00;268,75
05.01.2018 07:00;05.01.2018 08:00;474,00;474,00;390,25
05.01.2018 08:00;05.01.2018 09:00;586,50;586,50;511,00
05.01.2018 09:00;05.01.2018 10:00;629,50;629,50;568,50
05.01.2018 10:00;05.01.2018 11:00;639,50;639,50;596,00
05.01.2018 11:00;05.01.2018 12:00;663,75;663,75;634,25
05.01.2018 12:00;05.01.2018 13:00;692,00;692,00;670,50
05.01.2018 13:00;05.01.2018 14:00;662,75;662,75;640,75
05.01.2018 14:00;05.01.2018 15:00;602,00;602,00;571,75
05.01.2018 15:00;05.01.2018 16:00;546,75;546,75;509,00
05.01.2018 16:00;05.01.2018 17:00;531,50;531,50;488,25
05.01.2018 17:00;05.01.2018 18:00;556,75;556,75;508,25
05.01.2018 18:00;05.01.2018 19:00;656,00;656,00;606,75
05.01.2018 19:00;05.01.2018 20:00;686,50;686,50;628,50
05.01.2018 20:00;05.01.2018 21:00;646,75;646,75;580,25
05.01.2018 21:00;05.01.2018 22:00;501,75;501,75;456,25
05.01.2018 22:00;05.01.2018 23:00;571,75;571,75;544,25
05.01.2018 23:00;06.01.2018 00:00;562,25;562,25;538,00
06.01.2018 00:00;06.01.2018 01:00;554,25;554,25;522,75
06.01.2018 01:00;06.01.2018 02:00;460,50;460,50;440,00
06.01.2018 02:00;06.01.2018 03:00;414,25;414,25;396,50
06.01.2018 03:00;06.01.2018 04:00;380,25;380,25;363,50
06.01.2018 04:00;06.01.2018 05:00;337,75;337,75;320,75
06.01.2018 05:00;06.01.2018 06:00;266,00;266,00;254,75
06.01.2018 06:00;06.01.2018 07:00;279,25;279,25;274,25
06.01.2018 07:00;06.01.2018 08:00;296,75;296,75;294,00
06.01.2018 08:00;06.01.2018 09:00;378,25;378,25;374,25
06.01.2018 09:00;06.01.2018 10:00;448,50;448,50;444,50
06.01.2018 10:00;06.01.2018 11:00;493,00;493,00;488,00
06.01.2018 11:00;06.01.2018 12:00;523,75;523,75;518,00
06.01.2018 12:00;06.01.2018 13:00;585,00;585,00;579,75
06.01.2018 13:00;06.01.2018 14:00;661,75;661,75;656,75
06.01.2018 14:00;06.01.2018 15:00;589,25;589,25;584,75
06.01.2018 15:00;06.01.2018 16:00;525,00;525,00;520,25
06.01.2018 16:00;06.01.2018 17:00;485,25;485,25;479,00
06.01.2018 17:00;06.01.2018 18:00;405,75;405,75;393,00
06.01.2018 18:00;06.01.2018 19:00;451,00;451,00;436,50
06.01.2018 19:00;06.01.2018 20:00;556,00;556,00;536,75
06.01.2018 20:00;06.01.2018 21:00;611,00;611,00;594,25
06.01.2018 21:00;06.01.2018 22:00;551,50;551,50;528,50
06.01.2018 22:00;06.01.2018 23:00;444,25;444,25;419,00
06.01.2018 23:00;07.01.2018 00:00;446,25;446,25;411,00
07.01.2018 00:00;07.01.2018 01:00;462,25;462,25;416,00
07.01.2018 01:00;07.01.2018 02:00;439,50;439,50;386,00
07.01.2018 02:00;07.01.2018 03:00;408,00;408,00;355,50
07.01.2018 03:00;07.01.2018 04:00;328,25;328,25;276,75
07.01.2018 04:00;07.01.2018 05:00;223,00;223,00;160,25
07.01.2018 05:00;07.01.2018 06:00;146,00;146,00;69,75
07.01.2018 06:00;07.01.2018 07:00;127,00;127,00;49,50
07.01.2018 07:00;07.01.2018 08:00;60,25;60,25;-13,75
07.01.2018 08:00;07.01.2018 09:00;122,00;122,00;44,50
07.01.2018 09:00;07.01.2018 10:00;166,75;166,75;87,00
07.01.2018 10:00;07.01.2018 11:00;233,75;233,75;149,00
07.01.2018 11:00;07.01.2018 12:00;260,00;260,00;185,25
07.01.2018 12:00;07.01.2018 13:00;279,25;279,25;196,75
07.01.2018 13:00;07.01.2018 14:00;289,25;289,25;201,00
07.01.2018 14:00;07.01.2018 15:00;264,75;264,75;183,50
07.01.2018 15:00;07.01.2018 16:00;266,50;266,50;184,75
07.01.2018 16:00;07.01.2018 17:00;242,25;242,25;163,50
07.01.2018 17:00;07.01.2018 18:00;260,25;260,25;181,75
07.01.2018 18:00;07.01.2018 19:00;346,00;346,00;260,50
07.01.2018 19:00;07.01.2018 20:00;494,75;494,75;405,00
07.01.2018 20:00;07.01.2018 21:00;524,50;524,50;433,75
07.01.2018 21:00;07.01.2018 22:00;456,50;456,50;368,25
07.01.2018 22:00;07.01.2018 23:00;418,00;418,00;331,00
07.01.2018 23:00;08.01.2018 00:00;478,00;478,00;389,50
08.01.2018 00:00;08.01.2018 01:00;412,00;412,00;338,75
08.01.2018 01:00;08.01.2018 02:00;322,25;322,25;255,00
08.01.2018 02:00;08.01.2018 03:00;278,25;278,25;216,25
08.01.2018 03:00;08.01.2018 04:00;260,00;260,00;205,50
08.01.2018 04:00;08.01.2018 05:00;240,25;240,25;176,00
08.01.2018 05:00;08.01.2018 06:00;272,25;272,25;202,00
08.01.2018 06:00;08.01.2018 07:00;442,75;442,75;365,25
08.01.2018 07:00;08.01.2018 08:00;598,25;598,25;523,25
08.01.2018 08:00;08.01.2018 09:00;700,25;700,25;627,25
08.01.2018 09:00;08.01.2018 10:00;688,50;688,50;610,75
08.01.2018 10:00;08.01.2018 11:00;672,25;672,25;596,75
08.01.2018 11:00;08.01.2018 12:00;683,75;683,75;612,75
08.01.2018 12:00;08.01.2018 13:00;701,25;701,25;635,25
08.01.2018 13:00;08.01.2018 14:00;714,25;714,25;647,50
08.01.2018 14:00;08.01.2018 15:00;689,75;689,75;619,25
08.01.2018 15:00;08.01.2018 16:00;636,00;636,00;571,50
08.01.2018 16:00;08.01.2018 17:00;619,25;619,25;558,25
08.01.2018 17:00;08.01.2018 18:00;634,75;634,75;561,00
08.01.2018 18:00;08.01.2018 19:00;672,50;672,50;594,50
08.01.2018 19:00;08.01.2018 20:00;665,25;665,25;585,25
08.01.2018 20:00;08.01.2018 21:00;623,25;623,25;554,25
08.01.2018 21:00;08.01.2018 22:00;570,75;570,75;495,25
08.01.2018 22:00;08.01.2018 23:00;585,50;585,50;517,50
08.01.2018 23:00;09.01.2018 00:00;545,00;545,00;482,00
09.01.2018 00:00;09.01.2018 01:00;531,50;531,50;460,25
09.01.2018 01:00;09.01.2018 02:00;461,50;461,50;392,00
